,brand,title,sold_price,actual_price,url,img
922,ROFOLO,"Embellished, Solid/Plain Daily Wear Chanderi, Cotton Si... Green",₹403,₹999,https://www.flipkart.com/rofolo-embellished-solid-plain-daily-wear-chanderi-cotton-silk-saree/p/itm34358ee03b854?pid=SARGMGF5EJX3AANW&lid=LSTSARGMGF5EJX3AANWXKRANG&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_923&otracker=browse&fm=organic&iid=5490b46c-c568-4161-a254-a75d9a2aae5a.SARGMGF5EJX3AANW.SEARCH&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/l/b/l/free-rk2154-green-rofolo-unstitched-original-imagmgypy36frdgm.jpeg?q=70
923,peer store,"Floral Print Bollywood Georgette, Chiffon Saree Yellow",₹601,"₹3,599",https://www.flipkart.com/peer-store-floral-print-bollywood-georgette-chiffon-saree/p/itm99e160fb1189a?pid=SARGJ3Q4KSHFUYTN&lid=LSTSARGJ3Q4KSHFUYTNCCRFQM&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_924&otracker=browse&fm=organic&iid=5490b46c-c568-4161-a254-a75d9a2aae5a.SARGJ3Q4KSHFUYTN.SEARCH&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/d/h/m/free-sarees-new-2022-2023-simplle-sarees-sarees-new2022-2023-original-imagj3g3swpmvbju.jpeg?q=70
924,Shree hans,"Woven Bollywood Chiffon Saree Purple, Gold",₹272,"₹1,599",https://www.flipkart.com/shree-hans-woven-bollywood-chiffon-saree/p/itm3d6e8b3ee4c47?pid=SARGGGR6S7HR2VZN&lid=LSTSARGGGR6S7HR2VZNRDD2SB&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_925&otracker=browse&fm=organic&iid=5490b46c-c568-4161-a254-a75d9a2aae5a.SARGGGR6S7HR2VZN.SEARCH&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/n/z/j/free-2-patta-wine-shree-hans-unstitched-original-imagggr25g5ub3g2.jpeg?q=70
925,kashvi sarees,"Striped Bollywood Satin Saree Light Blue, Blue",₹249,"₹1,699",https://www.flipkart.com/kashvi-sarees-striped-bollywood-satin-saree/p/itm5faf16b30d816?pid=SARGZ85YQ2PCTJTN&lid=LSTSARGZ85YQ2PCTJTNI6HQRU&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_926&otracker=browse&fm=organic&iid=5490b46c-c568-4161-a254-a75d9a2aae5a.SARGZ85YQ2PCTJTN.SEARCH&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/m/f/b/free-md-wb-sat6003-4-kashvi-sarees-no-blouse-original-imagz84wy3f5ebhh.jpeg?q=70
926,Anand Sarees,Floral Print Daily Wear Georgette Saree Dark Blue,₹249,"₹1,299",https://www.flipkart.com/anand-sarees-floral-print-daily-wear-georgette-saree/p/itme087a2ae5c1d9?pid=SARGRCDXHZGGNKBH&lid=LSTSARGRCDXHZGGNKBHRTH5BO&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_927&otracker=browse&fm=organic&iid=en_Gs7o1oTqMiYM5lffMbuJkKfmr5aKE8vv4asWXXBJE-JNsJ-HQz-q74p1SNdIHvFZ0g05JTNj7__xFmoqjVOdWQ%3D%3D&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/o/l/u/free-md-wb80-1-anand-sarees-no-blouse-original-imagrcdxwke8xgfu.jpeg?q=70
927,Anand Sarees,"Paisley, Striped, Geometric Print Leheria Georgette Sar... Black",₹249,"₹1,299",https://www.flipkart.com/anand-sarees-paisley-striped-geometric-print-leheria-georgette-saree/p/itm597aadcd11a2a?pid=SARGRWHYMCHGU8ZD&lid=LSTSARGRWHYMCHGU8ZDTLZVFX&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_928&otracker=browse&fm=organic&iid=en_Gs7o1oTqMiYM5lffMbuJkKfmr5aKE8vv4asWXXBJE-Ip0Et53jVfANp-ICDc-YqVnIbnWVrLRHhiar23PkPIcA%3D%3D&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/9/j/f/free-md-wb105-4-anand-sarees-no-blouse-original-imagrwhymd55dj9r.jpeg?q=70
928,Vaidehi Fashion,"Embroidered Bollywood Lycra Blend, Velvet Saree Maroon","₹1,953","₹8,999",https://www.flipkart.com/vaidehi-fashion-embroidered-bollywood-lycra-blend-velvet-saree/p/itma610906128dcf?pid=SARGZFKCYFCCWGGA&lid=LSTSARGZFKCYFCCWGGAK2OCLM&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_929&otracker=browse&fm=organic&iid=5490b46c-c568-4161-a254-a75d9a2aae5a.SARGZFKCYFCCWGGA.SEARCH&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/y/9/l/free-silky-1-vaidehi-fashion-unstitched-original-imagzfkcgtuggemx.jpeg?q=70
929,fentik.com,Solid/Plain Bollywood Lycra Blend Saree Dark Green,₹499,"₹1,299",https://www.flipkart.com/fentik-com-solid-plain-bollywood-lycra-blend-saree/p/itm33de29c3d9e15?pid=SARFYKYVKYGVZDCW&lid=LSTSARFYKYVKYGVZDCWIO0NOY&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_930&otracker=browse&fm=organic&iid=5490b46c-c568-4161-a254-a75d9a2aae5a.SARFYKYVKYGVZDCW.SEARCH&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/kiulxu80-0/saree-fall/6/j/p/xl-kajal-saree-green-fentik-com-original-imafyjp5fc9rhjty.jpeg?q=70
930,Anand Sarees,Floral Print Daily Wear Georgette Saree Yellow,₹249,"₹1,299",https://www.flipkart.com/anand-sarees-floral-print-daily-wear-georgette-saree/p/itmeaa18caabb3e0?pid=SARGQQ43MGHFHPPS&lid=LSTSARGQQ43MGHFHPPSDPHD5Q&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_931&otracker=browse&fm=organic&iid=en_Gs7o1oTqMiYM5lffMbuJkKfmr5aKE8vv4asWXXBJE-KYfX-9zri-Wm07ThAbG5qB1HPQAxLxd8mmNeuYV-qt7g%3D%3D&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/t/k/9/free-md-wb80-3-anand-sarees-no-blouse-original-imagqq43azyqnzth.jpeg?q=70
931,Anand Sarees,"Paisley, Striped, Geometric Print Leheria Georgette Sar... Pink",₹249,"₹1,299",https://www.flipkart.com/anand-sarees-paisley-striped-geometric-print-leheria-georgette-saree/p/itm66fb7a6728d08?pid=SARGRWHYFAGPCGZZ&lid=LSTSARGRWHYFAGPCGZZZJXAL2&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_932&otracker=browse&fm=organic&iid=en_Gs7o1oTqMiYM5lffMbuJkKfmr5aKE8vv4asWXXBJE-K12HFoCaz7uwLJQ3FRWZzSQhFObUHzmQEQxWYzAVZNJw%3D%3D&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/d/l/b/free-md-wb108-4-anand-sarees-no-blouse-original-imagrwhy2wzphnu8.jpeg?q=70
932,Anand Sarees,"Floral Print Daily Wear Georgette Saree Pack of 2, Black, Multicolor",₹424,"₹1,999",https://www.flipkart.com/anand-sarees-floral-print-daily-wear-georgette-saree/p/itm7e75181fc39e2?pid=SARGRG4RJRFGAJKS&lid=LSTSARGRG4RJRFGAJKSWRLHQW&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_933&otracker=browse&fm=organic&iid=5490b46c-c568-4161-a254-a75d9a2aae5a.SARGRG4RJRFGAJKS.SEARCH&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/j/y/c/free-combo-vd-wb44-2-wb45-1-anand-sarees-no-blouse-original-imagrg4qeeezvhd4.jpeg?q=70
933,VILLAGIUS,Woven Dharmavaram Jacquard Saree Yellow,₹499,"₹3,999",https://www.flipkart.com/villagius-woven-dharmavaram-jacquard-saree/p/itm5f1bf4f0b7452?pid=SARGYU6DHZQZJMHJ&lid=LSTSARGYU6DHZQZJMHJHC0JJJ&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_934&otracker=browse&fm=organic&iid=5490b46c-c568-4161-a254-a75d9a2aae5a.SARGYU6DHZQZJMHJ.SEARCH&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/d/1/j/free-karishma-yellow-blue-quexle-unstitched-original-imagyxhhvgpkjeej.jpeg?q=70
934,VBHP FASHION,"Embroidered Bollywood Net Saree Pink, Grey",₹488,"₹3,699",https://www.flipkart.com/vbhp-fashion-embroidered-bollywood-net-saree/p/itm8b2eec20cb94c?pid=SARGF2MQYFRE3G9S&lid=LSTSARGF2MQYFRE3G9SRXFFGB&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_935&otracker=browse&fm=organic&iid=5490b46c-c568-4161-a254-a75d9a2aae5a.SARGF2MQYFRE3G9S.SEARCH&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/kyq62kw0/sari/t/z/j/free-23-pink-vbhp-fashion-unstitched-original-imagawyw7kb8xjzt.jpeg?q=70
935,KEYU FASHION,Embellished Bollywood Georgette Saree Black,₹421,"₹2,599",https://www.flipkart.com/keyu-fashion-embellished-bollywood-georgette-saree/p/itmf9934a60787a9?pid=SARGGN5YP6TFXWYR&lid=LSTSARGGN5YP6TFXWYR8QMLMM&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_936&otracker=browse&fm=organic&iid=5490b46c-c568-4161-a254-a75d9a2aae5a.SARGGN5YP6TFXWYR.SEARCH&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/kxqg2a80/sari/w/4/5/free-sequence-pmd-fashion-unstitched-original-imaga4brys7namse.jpeg?q=70
936,Anand Sarees,"Floral Print, Geometric Print Daily Wear Georgette Sare... Red, Pink, White",₹249,"₹1,299",https://www.flipkart.com/anand-sarees-floral-print-geometric-print-daily-wear-georgette-saree/p/itm0e497c688af44?pid=SARGZUCWYVTSTEK6&lid=LSTSARGZUCWYVTSTEK6REVJ6X&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_937&otracker=browse&fm=organic&iid=en_Gs7o1oTqMiYM5lffMbuJkKfmr5aKE8vv4asWXXBJE-L2BA5sACZNbMIdwi_Lrf5StxDjtIbhyij5hh0Tf0HOkA%3D%3D&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/xif0q/sari/k/b/l/free-md-wb78-2-anand-sarees-no-blouse-original-imagzucwecyebpuh.jpeg?q=70
937,LAHEJA,"Striped, Embellished, Floral Print, Paisley, Geometric ... Multicolor",₹391,"₹2,399",https://www.flipkart.com/laheja-striped-embellished-floral-print-paisley-geometric-print-bandhani-silk-blend-saree/p/itm15936b02c0e2a?pid=SARGBHH8RHJYHUKG&lid=LSTSARGBHH8RHJYHUKGMHQUDV&marketplace=FLIPKART&store=clo%2F8on%2Fzpd%2F9og&srno=b_24_938&otracker=browse&fm=organic&iid=en_Gs7o1oTqMiYM5lffMbuJkKfmr5aKE8vv4asWXXBJE-ILpXILAMehCIwDy9UVe6vY51KkcGyadyRhZWsrXS_-SA%3D%3D&ppt=None&ppn=None&ssid=f05lwyg2e80000001692188660390,https://rukminim2.flixcart.com/image/612/612/kzhbfrk0/sari/d/z/w/free-grey-15386-laheja-unstitched-original-imagbhh8hwgnrzrf.jpeg?q=70
